happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a year,A few times a week,A few times a week,A few times a month,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Once or twice a month,Yes,Once or twice a month,Never,Never,Sometimes,Never,Not Lonely,15,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a month,Every day,Every day,A few times a month,Nothing at all,More of an individual problem,Minor role,Major role,Major role,Not sure,Both equally/It depends (Vol.),Minor reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,Once or twice a month, ,Engaging in conversations with other people,Strengthened,Not sure,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Never,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,5,Not applicable (Vol.),Very satisfied,Somewhat satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a month,Every day,Nothing at all,More of an individual problem,Minor role,Not sure,Not sure,Not sure,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Sometimes,Never,Sometimes,Never,Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,"Rarely, or",Never,Never,Not Lonely,10,Somewhat satisfied,Somewhat satisfied,Very satisfied,Every day,A few times a week,A few times a month,Every day,A few times a week,A few times a week,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Declined to answer,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a month,Never (Vol.),A few times a month,A few times a week,Never (Vol.),Only a little,Not sure,Declined to answer,Major role,Declined to answer,Declined to answer,Due to factors and circumstances beyond their control,Not sure,Declined to answer,Declined to answer,Major reason,Declined to answer,No,No, , , , , , , ,"No, would not recommend",Declined to answer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Not sure,Not sure,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,"Rarely, or",Never,Never,Never,Not Lonely,20,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a week,A few times a month,Nothing at all,Not sure,No role at all,Major role,No role at all,Major role,Due to factors and circumstances beyond their control,Not sure,Not a reason,Not a reason,Not a reason,Not a reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,Never (Vol.),A few times a week,A few times a week,Never (Vol.),Some,More of an individual problem,Major role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Not sure,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a week,A few times a month,A few times a month,A few times a week,A few times a month,A few times a week,A lot,More of an individual problem,Minor role,Major role,Major role,Minor role,Mostly have themselves to blame,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Weakened,Better,Less satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Never,Never,"Rarely, or",Not Lonely,No one,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a month,A few times a week,A few times a week,A few times a year,A few times a month,A few times a month,Some,More of an individual problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,About once a week,No, ,Never,Always,Never,Never,Lonely,4,Very satisfied,Very satisfied,Somewhat dissatisfied,Every day,A few times a week,Less than that,A few times a week,A few times a week,Never (Vol.),Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Not a reason,Minor reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Declined to answer,Declined to answer,No impact,Not applicable/Not employed/Retired/Disabled (Vol.),No impact,No impact,Almost always,Declined to answer,Never,Almost always,Sometimes,Never,Sometimes,Never,Never,Never,No, , , , , , ,Major reason,Not a reason,Minor reason,Not a reason,Not a reason,Minor reason,No,No
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,A few times a year,Yes,About once a week,Yes,About once a week,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a month,A few times a week,Every day,A few times a month,A few times a month,Some,More of an individual problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Never,"Rarely, or","Rarely, or",Never,Not Lonely,5,Not applicable (Vol.),Very satisfied,Very satisfied,A few times a month,A few times a week,A few times a month,Every day,A few times a week,A few times a week,Only a little,More of an individual problem,Minor role,Minor role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Minor reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Never,Never,Lonely,Not Sure,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Every day,Every day,A few times a month,Every day,A few times a week,Less than that,A lot,More of a public health problem,Major role,No role at all,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Less than 6 months,No impact,No impact,No impact,No impact,Sometimes,Sometimes,Never,Almost always,Sometimes,Never,Sometimes,Never,Never,Rarely,Yes,No,Yes,Yes,No,No,Somewhat helpful, , , , , , ,No,No
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Just a few,No, ,Yes,About once a week,No, ,"Rarely, or",Sometimes,Sometimes,"Rarely, or",Not Lonely,6,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a month,Never (Vol.),Every day,Every day,Never (Vol.),Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Sometimes,Never,"Rarely, or",Often,Lonely,3,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a month,Less than that,Every day,Every day,A few times a year,Some,More of an individual problem,Minor role,Minor role,No role at all,Minor role,Mostly have themselves to blame,Minor reason,Not a reason,Major reason,Minor reason,Minor reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"No, would not recommend",Harder,Isn't really a problem,Physical/health problems,Loneliness comes and goes,6 months to less than a year,Somewhat negative,Not applicable/Not employed/Retired/Disabled (Vol.),Somewhat negative,No impact,Sometimes,Never,Never,Never,Sometimes,Never,Almost always,Never,Almost always,Never,No, , , , , , ,Minor reason,Minor reason,Not a reason,Not a reason,Major reason,Not a reason,No,No
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or",Never,Never,"Rarely, or",Not Lonely,6,Very satisfied,Very satisfied,Somewhat satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a month,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Major reason,Minor reason,Major reason,Not a reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Weakened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Sometimes,"Rarely, or",Never,Sometimes,Not Lonely,12,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a month,A few times a month,A few times a week,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Weakened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Sometimes,Never,Sometimes,Never,Not Lonely,More than 50,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,Every day,Every day,A lot,More of an individual problem,Major role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A fair amount,Yes,Once or twice a month,Yes,Once or twice a month,Yes,Once or twice a month,"Rarely, or",Never,Never,Never,Not Lonely,5,Not applicable (Vol.),Somewhat satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,Every day,Every day,A lot,Not sure,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,Better,More satisfied,More satisfied,Not sure,Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,Yes,Never (Vol.),No, ,Yes,A few times a year,Sometimes,Sometimes,"Rarely, or","Rarely, or",Not Lonely,4,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a month,A few times a month,A few times a week,Only a little,More of an individual problem,No role at all,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Not a reason,Not a reason,Major reason,Yes,Yes,Every day,Less than half an hour,An equal mix of both,Strengthened,Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
